category,count,share
M/M,410,0.3775322283609576
F/M,237,0.21823204419889503
Gen,236,0.21731123388581952
Multi,86,0.07918968692449356
F/F,69,0.06353591160220995
Other,27,0.024861878453038673
No category,21,0.019337016574585635
